FECHA,COD_STA,COD_UBT,COD_SDS,VALOR,COSTO_RED
2020-03-29,RE,TAM,EUN,4.748859053286799E-6,0.01
2020-03-29,SU,TAM,EUN,0.9992815122598475,0.01
2020-03-29,ED,MAD,EUN,2.5451509148858425E-9,0.01
2020-03-29,EX,MAD,EUN,7.34373998718577E-6,0.01
2020-03-29,I0,MAD,EUN,2.0338927569981836E-5,0.01
2020-03-29,I1,MAD,EUN,1.1955896135452048E-5,0.01
2020-03-29,I2,MAD,EUN,1.9303127929468827E-6,0.01
2020-03-29,I3,MAD,EUN,4.5720998460416557E-7,0.01
2020-03-29,ND,MAD,EUN,3.0532902426962067E-4,0.01
2020-03-29,RE,MAD,EUN,1.4324031922027559E-5,0.01
2020-03-29,SU,MAD,EUN,0.9992437618132831,0.01
2020-03-29,ED,ALT,EUN,1.119536601122682E-9,0.01
2020-03-29,EX,ALT,EUN,3.230469488950473E-6,0.01
2020-03-29,I0,ALT,EUN,8.946806586412568E-6,0.01
2020-03-29,I1,ALT,EUN,5.259147708789666E-6,0.01
2020-03-29,I2,ALT,EUN,8.490945894388836E-7,0.01
2020-03-29,I3,ALT,EUN,2.0111360677883788E-7,0.01
2020-03-29,ND,ALT,EUN,4.815206587588446E-4,0.01
2020-03-29,RE,ALT,EUN,6.300763726027529E-6,0.01
2020-03-29,SU,ALT,EUN,0.9992753936805621,0.01
2020-03-30,ED,TAM,EUN,9.953671608185353E-10,0.01
2020-03-30,EX,TAM,EUN,2.81925120036957E-6,0.01
2020-03-30,I0,TAM,EUN,7.824444698156156E-6,0.01
2020-03-30,I1,TAM,EUN,4.5601530802078475E-6,0.01
2020-03-30,I2,TAM,EUN,7.108983462896008E-7,0.01
2020-03-30,I3,TAM,EUN,1.6689321946797828E-7,0.01
2020-03-30,ND,TAM,EUN,2.9298671558756737E-5,0.01
2020-03-30,RE,TAM,EUN,5.412017764692293E-6,0.01
2020-03-30,SU,TAM,EUN,0.9992287289330342,0.01
2020-03-30,ED,MAD,EUN,3.0023608994900082E-9,0.01
2020-03-30,EX,MAD,EUN,8.503167624314892E-6,0.01
2020-03-30,I0,MAD,EUN,2.3599999901046864E-5,0.01
2020-03-30,I1,MAD,EUN,1.3754570505510049E-5,0.01
2020-03-30,I2,MAD,EUN,2.1442807740405656E-6,0.01
2020-03-30,I3,MAD,EUN,5.03404046967903E-7,0.01
2020-03-30,ND,MAD,EUN,3.2601671336214864E-4,0.01
2020-03-30,RE,MAD,EUN,1.6324286463806572E-5,0.01
2020-03-30,SU,MAD,EUN,0.9991852964575682,0.01
